Texts,Text_Level,MLS,MLT,MLC,C.S,VP.T,C.T,DC.C,DC.T,T.S,CT.T,CP.T,CP.C,CN.T,CN.C
ELA0542_5.txt,5,11.4545,10.9565,8.5424,1.3409,1.4565,1.2826,0.2203,0.2826,1.0455,0.2391,0.1522,0.1186,1.1087,0.8644
ELA0543_7.txt,7,14.1842,13.8205,9.9815,1.4211,1.7179,1.3846,0.2778,0.3846,1.0263,0.3846,0.2051,0.1481,1.4872,1.0741
ELA0544_9.txt,9,17.8065,17.25,11.2653,1.5806,1.9375,1.5312,0.2857,0.4375,1.0323,0.4375,0.3438,0.2245,2.0625,1.3469
ELA0545_12.txt,12,21.04,19.4815,11.4348,1.84,2.2222,1.7037,0.3696,0.6296,1.08,0.6296,0.3704,0.2174,2.3704,1.3913
ELA0546_3.txt,3,9.3043,9.3043,6.0282,1.5435,1.7174,1.5435,0.2535,0.3913,1,0.3261,0.0652,0.0423,0.913,0.5915
ELA0547_5.txt,5,12.6923,12.2222,7.6744,1.6538,1.8519,1.5926,0.3488,0.5556,1.0385,0.4259,0.2407,0.1512,1.5556,0.9767
ELA0548_7.txt,7,16.3137,13.6393,7.8491,2.0784,1.9836,1.7377,0.3679,0.6393,1.1961,0.5082,0.2459,0.1415,1.8689,1.0755
ELA0549_9.txt,9,19.3111,15.2456,8.1981,2.3556,2.1053,1.8596,0.4245,0.7895,1.2667,0.5965,0.2807,0.1509,2.2456,1.2075
ELA0550_12.txt,12,26.4848,20.3256,8.9184,2.9697,2.6977,2.2791,0.4796,1.093,1.303,0.6744,0.3721,0.1633,3.0698,1.3469
ELA0551_3.txt,3,8.9216,8.9216,6.4085,1.3922,1.5686,1.3922,0.2254,0.3137,1,0.2941,0.0784,0.0563,1.0392,0.7465
ELA0552_5.txt,5,11.4615,11.1194,7.9255,1.4462,1.6119,1.403,0.2553,0.3582,1.0308,0.3284,0.1194,0.0851,1.4328,1.0213
ELA0553_7.txt,7,14.9032,14.9032,9.24,1.6129,1.9032,1.6129,0.33,0.5323,1,0.371,0.1613,0.1,1.9839,1.23
ELA0554_9.txt,9,17.0545,16.1724,9.6701,1.7636,1.9828,1.6724,0.3402,0.569,1.0545,0.3966,0.1724,0.1031,2.1552,1.2887
ELA0555_12.txt,12,22.0714,21.0682,11.1687,1.9762,2.3182,1.8864,0.3735,0.7045,1.0476,0.4545,0.25,0.1325,3.0455,1.6145
ELA0556_3.txt,3,7.942,8.0588,6.5238,1.2174,1.3824,1.2353,0.1905,0.2353,0.9855,0.1618,0.0441,0.0357,0.8235,0.6667
ELA0557_5.txt,5,12.2545,12.0357,9.3611,1.3091,1.5,1.2857,0.2222,0.2857,1.0182,0.1964,0.2143,0.1667,1.4286,1.1111
ELA0558_7.txt,7,14.25,13.9592,9.7714,1.4583,1.7347,1.4286,0.2857,0.4082,1.0208,0.2857,0.2449,0.1714,1.7755,1.2429
ELA0559_9.txt,9,18.0278,18.5429,10.6393,1.6944,1.8857,1.7429,0.3934,0.6857,0.9722,0.4,0.4571,0.2623,2.5143,1.4426
ELA0560_12.txt,12,22.3333,21.44,12.7619,1.75,1.96,1.68,0.381,0.64,1.0417,0.52,0.68,0.4048,2.84,1.6905
ELA0561_3.txt,3,8.6875,8.6875,6.4154,1.3542,1.7083,1.3542,0.2308,0.3125,1,0.25,0.1042,0.0769,0.7083,0.5231
ELA0562_5.txt,5,12.4259,12.2,7.2935,1.7037,2.2545,1.6727,0.337,0.5636,1.0185,0.4545,0.1273,0.0761,1.2545,0.75
ELA0563_7.txt,7,15.614,15.0847,8.3178,1.8772,2.4068,1.8136,0.3925,0.7119,1.0351,0.5254,0.339,0.1869,1.7119,0.9439
ELA0564_9.txt,9,18.4717,16.8793,8.7411,2.1132,2.5862,1.931,0.4286,0.8276,1.0943,0.5862,0.3793,0.1964,1.931,1
ELA0565_12.txt,12,23.0455,20.28,9.566,2.4091,2.84,2.12,0.4717,1,1.1364,0.68,0.42,0.1981,2.64,1.2453
ELA0566_3.txt,3,8.1833,8.1833,6.4605,1.2667,1.4,1.2667,0.1974,0.25,1,0.2167,0.2,0.1579,0.7167,0.5658
ELA0567_5.txt,5,11.2833,10.746,7.8721,1.4333,1.6825,1.3651,0.2326,0.3175,1.05,0.2857,0.3492,0.2558,0.9048,0.6628
ELA0568_7.txt,7,14.8197,13.4925,8.4486,1.7541,1.9403,1.597,0.3458,0.5522,1.0984,0.5224,0.4179,0.2617,1.2388,0.7757
ELA0569_9.txt,9,17.5862,15.9375,9.4444,1.8621,2.1406,1.6875,0.3519,0.5938,1.1034,0.5156,0.6094,0.3611,1.6094,0.9537
ELA0570_12.txt,12,19.3291,17.5517,9.7885,1.9747,2.1724,1.7931,0.3654,0.6552,1.1013,0.5172,0.5517,0.3077,2.1034,1.1731
ELA0571_3.txt,3,8.2642,8.5882,6.7385,1.2264,1.549,1.2745,0.1231,0.1569,0.9623,0.1373,0.1176,0.0923,0.7451,0.5846
ELA0572_5.txt,5,11.3833,11.5763,8.3293,1.3667,1.8475,1.3898,0.1463,0.2034,0.9833,0.1695,0.2373,0.1707,1,0.7195
ELA0573_7.txt,7,14.5738,14.5738,9.3579,1.5574,2.0164,1.5574,0.2105,0.3279,1,0.2623,0.4918,0.3158,1.4918,0.9579
ELA0574_9.txt,9,17.8,17.1754,10.4149,1.7091,2.2281,1.6491,0.2447,0.4035,1.0364,0.3333,0.5965,0.3617,1.8246,1.1064
ELA0575_12.txt,12,21.1818,20.2609,10.9647,1.9318,2.4783,1.8478,0.2941,0.5435,1.0455,0.4348,0.6957,0.3765,2.1739,1.1765
ELA0576_3.txt,3,9.5111,9.5111,6.2941,1.5111,1.7111,1.5111,0.25,0.3778,1,0.3333,0.1556,0.1029,1.0667,0.7059
ELA0577_5.txt,5,11.8372,11.8372,7.2714,1.6279,1.8605,1.6279,0.2857,0.4651,1,0.3953,0.2093,0.1286,1.4419,0.8857
ELA0578_7.txt,7,15,15.4545,8.9474,1.6765,2.0606,1.7273,0.3509,0.6061,0.9706,0.4545,0.3333,0.193,2,1.1579
ELA0579_9.txt,9,17.7143,17.7143,9.3585,1.8929,2.1786,1.8929,0.3585,0.6786,1,0.5357,0.3929,0.2075,2.25,1.1887
ELA0580_12.txt,12,24.1053,24.1053,10.9048,2.2105,2.8421,2.2105,0.5,1.1053,1,0.7895,0.7368,0.3333,3,1.3571
ELA0581_3.txt,3,8.4872,9.4571,7.881,1.0769,1.3714,1.2,0.119,0.1429,0.8974,0.1429,0.1143,0.0952,0.9429,0.7857
ELA0582_5.txt,5,11.0635,10.8906,8.6049,1.2857,1.4844,1.2656,0.1728,0.2188,1.0159,0.2188,0.2188,0.1728,1.0625,0.8395
ELA0583_7.txt,7,15.4828,14.4839,10.2045,1.5172,1.7581,1.4194,0.2614,0.371,1.069,0.3387,0.3387,0.2386,1.6774,1.1818
ELA0584_9.txt,9,18.9811,17.6491,11.3034,1.6792,2,1.5614,0.3258,0.5088,1.0755,0.4561,0.4912,0.3146,2.1053,1.3483
ELA0585_12.txt,12,23.8889,20.9028,12.2358,1.9524,2.2778,1.7083,0.3496,0.5972,1.1429,0.5,0.5556,0.3252,2.4861,1.4553
ELA0586_3.txt,3,8.9298,9.0893,8.0794,1.1053,1.25,1.125,0.127,0.1429,0.9825,0.1071,0.125,0.1111,1.1429,1.0159
ELA0587_5.txt,5,12.2069,12.2069,9.6986,1.2586,1.6552,1.2586,0.2192,0.2759,1,0.2586,0.2414,0.1918,1.5345,1.2192
ELA0588_7.txt,7,14.0147,14.2239,10.3587,1.3529,1.7612,1.3731,0.2935,0.403,0.9853,0.3284,0.3731,0.2717,1.8955,1.3804
ELA0589_9.txt,9,17.1746,16.6462,11.2708,1.5238,1.9231,1.4769,0.2917,0.4308,1.0317,0.3692,0.4462,0.3021,2.1692,1.4688
ELA0590_12.txt,12,22.4507,21.2533,12.9593,1.7324,2.2,1.64,0.3415,0.56,1.0563,0.4533,0.6,0.3659,2.8133,1.7154
ELA0591_3.txt,3,8.5789,8.8909,6.6081,1.2982,1.5636,1.3455,0.1486,0.2,0.9649,0.1455,0.0727,0.0541,0.8364,0.6216
ELA0592_5.txt,5,11.8308,12.2063,7.5392,1.5692,2,1.619,0.2745,0.4444,0.9692,0.381,0.0952,0.0588,1.4444,0.8922
ELA0593_7.txt,7,14.3125,13.8788,8.3273,1.7188,2.0455,1.6667,0.3,0.5,1.0312,0.3788,0.197,0.1182,1.6818,1.0091
ELA0594_9.txt,9,17.4828,17.1864,9.1351,1.9138,2.3559,1.8814,0.3604,0.678,1.0172,0.4915,0.3051,0.1622,2.1695,1.1532
ELA0595_12.txt,12,21.1429,19.381,9.5765,2.2078,2.5833,2.0238,0.3765,0.7619,1.0909,0.5238,0.4524,0.2235,2.2262,1.1
ELA0596_3.txt,3,8.5577,8.7255,6.2676,1.3654,1.5686,1.3922,0.2676,0.3725,0.9808,0.2745,0.0784,0.0563,0.8824,0.6338
ELA0597_5.txt,5,11.5846,11.7656,8.0106,1.4462,1.7031,1.4688,0.234,0.3438,0.9846,0.2812,0.2344,0.1596,1.2812,0.8723
ELA0598_7.txt,7,14.6935,14.6935,9.2959,1.5806,1.8387,1.5806,0.2347,0.371,1,0.2903,0.2742,0.1735,1.7419,1.102
ELA0599_9.txt,9,17.3091,17.9623,10.2366,1.6909,2.1887,1.7547,0.2903,0.5094,0.9636,0.4151,0.3396,0.1935,2.1132,1.2043
ELA0600_12.txt,12,26.1176,24.6667,10.3256,2.5294,3.0556,2.3889,0.407,0.9722,1.0588,0.6389,0.4722,0.1977,3.0833,1.2907
ELA0601_3.txt,3,8.9219,9.3607,8.3971,1.0625,1.3279,1.1148,0.0588,0.0656,0.9531,0.0656,0.082,0.0735,1.1311,1.0147
ELA0602_5.txt,5,12.6271,12.6271,9.9333,1.2712,1.6102,1.2712,0.1867,0.2373,1,0.1695,0.1695,0.1333,1.678,1.32
ELA0603_7.txt,7,16.4333,14.9394,10.3789,1.5833,1.7576,1.4394,0.2842,0.4091,1.1,0.3939,0.197,0.1368,1.9848,1.3789
ELA0604_9.txt,9,18.9818,17.6949,10.44,1.8182,2.0678,1.6949,0.36,0.6102,1.0727,0.4407,0.2881,0.17,2.3729,1.4
ELA0605_12.txt,12,22.569,18.7,10.3071,2.1897,2.2714,1.8143,0.3858,0.7,1.2069,0.5857,0.3429,0.189,2.4571,1.3543
ELA0606_3.txt,3,9.6087,9.6087,7.4915,1.2826,1.4783,1.2826,0.2034,0.2609,1,0.2391,0.087,0.0678,1.1739,0.9153
ELA0607_5.txt,5,12.2273,12.2273,8.8197,1.3864,1.6818,1.3864,0.2459,0.3409,1,0.2727,0.2727,0.1967,1.3864,1
ELA0608_7.txt,7,15.1892,15.1892,10.2182,1.4865,1.7838,1.4865,0.3091,0.4595,1,0.3514,0.2432,0.1636,1.6486,1.1091
ELA0609_9.txt,9,17.6774,17.6774,10.7451,1.6452,1.9677,1.6452,0.3725,0.6129,1,0.4194,0.3548,0.2157,1.9677,1.1961
ELA0610_12.txt,12,19.0357,18.3793,10.8776,1.75,2.0345,1.6897,0.3878,0.6552,1.0357,0.4828,0.3448,0.2041,2.0345,1.2041
ELA0611_3.txt,3,8.2131,8.6379,6.9583,1.1803,1.3966,1.2414,0.125,0.1552,0.9508,0.1552,0.0862,0.0694,0.6552,0.5278
ELA0612_5.txt,5,11.9661,11.9661,8.6098,1.3898,1.661,1.3898,0.2317,0.322,1,0.2712,0.2203,0.1585,1.1356,0.8171
ELA0613_7.txt,7,15.2712,15.0167,9.1939,1.661,2.1,1.6333,0.3367,0.55,1.0169,0.4167,0.2833,0.1735,1.3333,0.8163
ELA0614_9.txt,9,18.0625,18.0625,9.7416,1.8542,2.4583,1.8542,0.382,0.7083,1,0.5,0.4167,0.2247,1.5417,0.8315
ELA0615_12.txt,12,22.4595,21.3077,9.8929,2.2703,2.8718,2.1538,0.4643,1,1.0541,0.641,0.4872,0.2262,1.8718,0.869
ELA0616_3.txt,3,9.4783,9.4783,8.0741,1.1739,1.6087,1.1739,0.1481,0.1739,1,0.1739,0.0217,0.0185,0.8043,0.6852
ELA0617_5.txt,5,12.5238,12.1385,9.1744,1.3651,1.7538,1.3231,0.1977,0.2615,1.0317,0.2615,0.1538,0.1163,1.4308,1.0814
ELA0618_7.txt,7,15.3871,14.2388,10.6,1.4516,1.8955,1.3433,0.2444,0.3284,1.0806,0.3134,0.194,0.1444,1.7612,1.3111
ELA0619_9.txt,9,18.9815,16.5323,11.0215,1.7222,2.1129,1.5,0.3011,0.4516,1.1481,0.4355,0.2581,0.172,2.0323,1.3548
ELA0620_12.txt,12,20.9773,17.0926,10.0326,2.0909,2.2593,1.7037,0.3261,0.5556,1.2273,0.5185,0.2963,0.1739,2.0556,1.2065
ELA0621_3.txt,3,7.6346,7.6346,6.8448,1.1154,1.3462,1.1154,0.1207,0.1346,1,0.1346,0.0962,0.0862,0.6154,0.5517
ELA0622_5.txt,5,10.9048,10.9048,9.16,1.1905,1.5714,1.1905,0.16,0.1905,1,0.1587,0.2857,0.24,1.2857,1.08
ELA0623_7.txt,7,14.2889,13.3958,11.4821,1.2444,1.6458,1.1667,0.2143,0.25,1.0667,0.1875,0.4167,0.3571,1.6875,1.4464
ELA0624_9.txt,9,17.2,15.4359,11.5769,1.4857,1.8718,1.3333,0.2885,0.3846,1.1143,0.3077,0.5128,0.3846,1.9231,1.4423
ELA0625_12.txt,12,16.7941,15.0263,10.7736,1.5588,1.8947,1.3947,0.3208,0.4474,1.1176,0.3421,0.5,0.3585,1.7895,1.283
ELA0626_3.txt,3,8.5738,8.7167,8.3016,1.0328,1.25,1.05,0.0635,0.0667,0.9836,0.0667,0.1333,0.127,0.8,0.7619
ELA0627_5.txt,5,11.6,11.7681,9.9024,1.1714,1.5072,1.1884,0.1098,0.1304,0.9857,0.1304,0.2464,0.2073,1.3333,1.122
ELA0628_7.txt,7,14.0727,14.0727,11.0571,1.2727,1.6545,1.2727,0.1714,0.2182,1,0.2182,0.3273,0.2571,1.5273,1.2
ELA0629_9.txt,9,16.7381,15.9773,12.3333,1.3571,1.7727,1.2955,0.1754,0.2273,1.0476,0.25,0.4091,0.3158,1.6364,1.2632
ELA0630_12.txt,12,26.9565,17.7143,14.4186,1.8696,1.7714,1.2286,0.093,0.1143,1.5217,0.1429,0.6,0.4884,1.4286,1.1628
ELA0631_3.txt,3,8.5062,8.7215,6.4393,1.321,1.4937,1.3544,0.2617,0.3544,0.9753,0.3165,0.0886,0.0654,0.9494,0.7009
ELA0632_5.txt,5,11.5556,11.3973,7.7757,1.4861,1.8356,1.4658,0.3364,0.4932,1.0139,0.3973,0.1781,0.1215,1.274,0.8692
ELA0633_7.txt,7,14.2727,14.4605,8.1407,1.7532,2.1053,1.7763,0.4296,0.7632,0.987,0.5263,0.2763,0.1556,1.9211,1.0815
ELA0634_9.txt,9,16.942,17.7121,8.9923,1.8841,2.4091,1.9697,0.4385,0.8636,0.9565,0.5152,0.3939,0.2,2.4091,1.2231
ELA0635_12.txt,12,22.64,22.64,9.9298,2.28,2.86,2.28,0.5175,1.18,1,0.58,0.58,0.2544,3.08,1.3509
ELA0636_3.txt,3,9.3913,9.3913,7.2,1.3043,1.6739,1.3043,0.1333,0.1739,1,0.1739,0.1087,0.0833,0.7609,0.5833
ELA0637_5.txt,5,11.7,12.1034,8.4578,1.3833,1.7241,1.431,0.2169,0.3103,0.9667,0.2759,0.1552,0.1084,1.2414,0.8675
ELA0638_7.txt,7,14.9508,14.7097,8.5234,1.7541,2.1613,1.7258,0.3178,0.5484,1.0164,0.4194,0.1452,0.0841,1.6935,0.9813
ELA0639_9.txt,9,17.76,17.0769,8.7921,2.02,2.5577,1.9423,0.3861,0.75,1.04,0.5,0.1923,0.099,2.0192,1.0396
ELA0640_12.txt,12,20.4634,19.0682,8.7396,2.3415,2.8636,2.1818,0.4062,0.8864,1.0732,0.6364,0.1818,0.0833,2.3182,1.0625
ELA0641_3.txt,3,9.3913,9.8182,7.2,1.3043,1.5909,1.3636,0.25,0.3409,0.9565,0.3182,0.1364,0.1,1.0227,0.75
ELA0642_5.txt,5,11.6452,11.6452,8.1124,1.4355,1.7903,1.4355,0.2921,0.4194,1,0.4355,0.2258,0.1573,1.2097,0.8427
ELA0643_7.txt,7,14.125,13.9077,8.6923,1.625,1.9692,1.6,0.3558,0.5692,1.0156,0.5231,0.3385,0.2115,1.4308,0.8942
ELA0644_9.txt,9,16.9815,15.5424,9.0792,1.8704,2.1186,1.7119,0.3861,0.661,1.0926,0.5085,0.4576,0.2673,1.661,0.9703
ELA0645_12.txt,12,22.4595,20.2683,10.1341,2.2162,2.5854,2,0.439,0.878,1.1081,0.6341,0.6341,0.3171,2.2195,1.1098
ELA0646_3.txt,3,8.6667,8.6667,6.597,1.3137,1.7647,1.3137,0.209,0.2745,1,0.2157,0.098,0.0746,0.8431,0.6418
ELA0647_5.txt,5,11.6897,11.4915,7.4505,1.569,2.1017,1.5424,0.2527,0.3898,1.0172,0.339,0.2203,0.1429,1,0.6484
ELA0648_7.txt,7,14.6452,14.4127,8.6476,1.6935,2.1587,1.6667,0.2571,0.4286,1.0161,0.3175,0.4286,0.2571,1.4762,0.8857
ELA0649_9.txt,9,16.8833,15.5846,9.1261,1.85,2.1538,1.7077,0.2793,0.4769,1.0833,0.3692,0.4923,0.2883,1.6462,0.964
ELA0650_12.txt,12,18.0781,17.0147,10.0609,1.7969,2.2059,1.6912,0.2609,0.4412,1.0625,0.3382,0.5147,0.3043,1.7353,1.0261
ELA0651_3.txt,3,8.8689,9.0167,7.3108,1.2131,1.3833,1.2333,0.1892,0.2333,0.9836,0.2167,0.1333,0.1081,0.9,0.7297
ELA0652_5.txt,5,11.1846,11.3594,7.9022,1.4154,1.625,1.4375,0.2609,0.375,0.9846,0.2812,0.1562,0.1087,1.3438,0.9348
ELA0653_7.txt,7,15.963,14.8621,9.2688,1.7222,1.8966,1.6034,0.3441,0.5517,1.0741,0.4483,0.2586,0.1613,1.7414,1.086
ELA0654_9.txt,9,18.234,17.14,9.4176,1.9362,2.22,1.82,0.4176,0.76,1.0638,0.5,0.24,0.1319,2.12,1.1648
ELA0655_12.txt,12,24.3125,22.2286,10.6575,2.2812,2.6857,2.0857,0.4658,0.9714,1.0938,0.6,0.3429,0.1644,2.7714,1.3288
ELA0656_3.txt,3,7.62,7.9375,5.6866,1.34,1.5208,1.3958,0.2537,0.3542,0.96,0.375,0.0417,0.0299,1.0833,0.7761
ELA0657_5.txt,5,10.2059,10.3582,6.6095,1.5441,1.8507,1.5672,0.3524,0.5522,0.9853,0.4478,0.0299,0.019,1.4627,0.9333
ELA0658_7.txt,7,12.4932,12.4932,7.6639,1.6301,1.9452,1.6301,0.3866,0.6301,1,0.4932,0.1918,0.1176,1.8493,1.1345
ELA0659_9.txt,9,16.2131,15.4531,8.6754,1.8689,2.1562,1.7812,0.4298,0.7656,1.0492,0.5781,0.2656,0.1491,2.2188,1.2456
ELA0660_12.txt,12,20.2642,19.1786,8.95,2.2642,2.6071,2.1429,0.4833,1.0357,1.0566,0.6607,0.3571,0.1667,2.6607,1.2417
ELA0661_3.txt,3,9.2553,9.2553,7.25,1.2766,1.5745,1.2766,0.1667,0.2128,1,0.1915,0.2128,0.1667,0.7872,0.6167
ELA0662_5.txt,5,12.7955,12.5111,8.2794,1.5455,1.8889,1.5111,0.2647,0.4,1.0227,0.3556,0.3111,0.2059,1.1778,0.7794
ELA0663_7.txt,7,16.3143,15.0263,8.5224,1.9143,2.3421,1.7632,0.3433,0.6053,1.0857,0.4474,0.3684,0.209,1.7105,0.9701
ELA0664_9.txt,9,20.069,18.7742,9.541,2.1034,2.7097,1.9677,0.4098,0.8065,1.069,0.5161,0.4839,0.2459,2.2903,1.1639
ELA0665_12.txt,12,23.7083,20.3214,9.1774,2.5833,3.0357,2.2143,0.4355,0.9643,1.1667,0.6786,0.5357,0.2419,2.3571,1.0645
ELA0666_3.txt,3,8.6545,8.6545,7.3231,1.1818,1.5091,1.1818,0.1538,0.1818,1,0.1818,0.0727,0.0615,0.9818,0.8308
ELA0667_5.txt,5,11.4444,11.2656,9.0125,1.2698,1.6094,1.25,0.2,0.25,1.0159,0.2031,0.125,0.1,1.4062,1.125
ELA0668_7.txt,7,15.9649,15.4237,10.7059,1.4912,1.8475,1.4407,0.2588,0.3729,1.0351,0.2881,0.2203,0.1529,1.9322,1.3412
ELA0669_9.txt,9,20.3256,18.2083,10.925,1.8605,2.1042,1.6667,0.35,0.5833,1.1163,0.4167,0.2917,0.175,2.4583,1.475
ELA0670_12.txt,12,22.0278,20.3333,11.8358,1.8611,2.2564,1.7179,0.3433,0.5897,1.0833,0.4103,0.3077,0.1791,2.7436,1.597
ELA0671_3.txt,3,8.7593,8.7593,6.5694,1.3333,1.4815,1.3333,0.1944,0.2593,1,0.2593,0.0556,0.0417,0.9074,0.6806
ELA0672_5.txt,5,12.1607,12.1607,8.2048,1.4821,1.625,1.4821,0.241,0.3571,1,0.2857,0.1786,0.1205,1.5893,1.0723
ELA0673_7.txt,7,14.8431,14.8431,9.3457,1.5882,1.8235,1.5882,0.2593,0.4118,1,0.4118,0.1569,0.0988,1.8627,1.1728
ELA0674_9.txt,9,16.2093,15.8409,9.6806,1.6744,1.9091,1.6364,0.2778,0.4545,1.0233,0.4545,0.1591,0.0972,2.0227,1.2361
ELA0675_12.txt,12,19.9032,19.2812,9.9516,2,2.25,1.9375,0.3226,0.625,1.0323,0.4688,0.2188,0.1129,2.5,1.2903
ELA0676_3.txt,3,9.6471,9.6471,8.339,1.1569,1.451,1.1569,0.1356,0.1569,1,0.1569,0.1373,0.1186,0.9608,0.8305
ELA0677_5.txt,5,12.0167,11.8197,8.9012,1.35,1.7869,1.3279,0.1728,0.2295,1.0167,0.2295,0.1311,0.0988,1.1475,0.8642
ELA0678_7.txt,7,15.127,14.6615,10.0316,1.5079,1.8923,1.4615,0.2211,0.3231,1.0317,0.3077,0.2154,0.1474,1.6154,1.1053
ELA0679_9.txt,9,17.25,15.9231,10.2222,1.6875,2.0962,1.5577,0.2469,0.3846,1.0833,0.3462,0.2308,0.1481,1.9231,1.2346
ELA0680_12.txt,12,19.475,18.5476,10.527,1.85,2.3571,1.7619,0.2432,0.4286,1.05,0.381,0.2857,0.1622,2.2619,1.2838
ELA0681_3.txt,3,9,9,7.1695,1.2553,1.4255,1.2553,0.1695,0.2128,1,0.1489,0.0851,0.0678,0.9787,0.7797
ELA0682_5.txt,5,11.9444,11.7273,7.7711,1.537,1.7636,1.5091,0.2771,0.4182,1.0185,0.2909,0.2,0.1325,1.3273,0.8795
ELA0683_7.txt,7,16.175,15.0465,8.863,1.825,2.0698,1.6977,0.3562,0.6047,1.075,0.3721,0.2791,0.1644,2.0698,1.2192
ELA0684_9.txt,9,18.8529,17.8056,9.0282,2.0882,2.3611,1.9722,0.4225,0.8333,1.0588,0.5278,0.4167,0.2113,2.5,1.2676
ELA0685_12.txt,12,20.9655,19,9.8065,2.1379,2.375,1.9375,0.4194,0.8125,1.1034,0.4688,0.5312,0.2742,2.7812,1.4355
ELA0686_3.txt,3,8.2881,8.431,7.5231,1.1017,1.2069,1.1207,0.1231,0.1379,0.9831,0.1034,0.1379,0.1231,0.9138,0.8154
ELA0687_5.txt,5,12.8148,11.5333,8.5432,1.5,1.5,1.35,0.2222,0.3,1.1111,0.2,0.2667,0.1975,1.3667,1.0123
ELA0688_7.txt,7,15.2742,14.5692,9.2843,1.6452,1.7385,1.5692,0.2451,0.3846,1.0484,0.2769,0.3538,0.2255,1.8923,1.2059
ELA0689_9.txt,9,18.4898,16.4727,9.7419,1.898,1.8909,1.6909,0.3011,0.5091,1.1224,0.3091,0.4182,0.2473,2.1091,1.2473
ELA0690_12.txt,12,19.1957,17.66,10.1494,1.8913,1.98,1.74,0.3218,0.56,1.087,0.38,0.4,0.2299,2.36,1.3563
ELA0691_3.txt,3,9.0513,8.825,7.5106,1.2051,1.275,1.175,0.1702,0.2,1.0256,0.1,0.425,0.3617,0.65,0.5532
ELA0692_5.txt,5,12.2941,12.54,10.1129,1.2157,1.6,1.24,0.1613,0.2,0.9804,0.18,0.34,0.2742,1.12,0.9032
ELA0693_7.txt,7,16.0208,15.6939,11.8308,1.3542,1.6735,1.3265,0.2154,0.2857,1.0208,0.2449,0.5102,0.3846,1.6327,1.2308
ELA0694_9.txt,9,18.4545,18.0444,12.8889,1.4318,1.8,1.4,0.2381,0.3333,1.0227,0.3111,0.6444,0.4603,1.8222,1.3016
ELA0695_12.txt,12,20.3492,19.7231,14.2444,1.4286,1.7692,1.3846,0.2333,0.3231,1.0317,0.3077,0.6769,0.4889,2.2769,1.6444
ELA0696_3.txt,3,9.1458,9.1458,7.1967,1.2708,1.5208,1.2708,0.2131,0.2708,1,0.25,0.1875,0.1475,1.1042,0.8689
ELA0697_5.txt,5,12.6,12.6,8.1529,1.5455,1.9091,1.5455,0.3882,0.6,1,0.4909,0.3818,0.2471,1.5455,1
ELA0698_7.txt,7,14.8852,14.6452,9.8696,1.5082,2.129,1.4839,0.3152,0.4677,1.0164,0.4194,0.4677,0.3152,1.9516,1.3152
ELA0699_9.txt,9,18.2407,16.6949,10.7065,1.7037,2.2712,1.5593,0.3261,0.5085,1.0926,0.4576,0.4576,0.2935,2.2373,1.4348
ELA0700_12.txt,12,24.7917,22.4528,11.1215,2.2292,2.9811,2.0189,0.3738,0.7547,1.1042,0.5283,0.6038,0.2991,3.1321,1.5514
ELA0701_3.txt,3,9.0364,9.2037,7.8889,1.1455,1.5185,1.1667,0.1111,0.1296,0.9818,0.1111,0.1852,0.1587,0.9074,0.7778
ELA0702_5.txt,5,12.0167,11.629,9.7432,1.2333,1.5161,1.1935,0.1486,0.1774,1.0333,0.1613,0.1935,0.1622,1.2258,1.027
ELA0703_7.txt,7,14.6333,13.7188,10.975,1.3333,1.6562,1.25,0.175,0.2188,1.0667,0.2031,0.2188,0.175,1.5781,1.2625
ELA0704_9.txt,9,18.5417,16.4815,11.5584,1.6042,1.8889,1.4259,0.1948,0.2778,1.125,0.2407,0.2407,0.1688,1.9815,1.3896
ELA0705_12.txt,12,21.9722,19.775,12.1692,1.8056,2.3,1.625,0.2769,0.45,1.1111,0.35,0.25,0.1538,2.45,1.5077
ELA0706_3.txt,3,8.2063,8.6167,6.8933,1.1905,1.4333,1.25,0.1467,0.1833,0.9524,0.1667,0.1667,0.1333,0.9333,0.7467
ELA0707_5.txt,5,11.0429,11.2029,8.5889,1.2857,1.6667,1.3043,0.1778,0.2319,0.9857,0.2319,0.2174,0.1667,1.3043,1
ELA0708_7.txt,7,14.1127,14.7353,9.3645,1.507,1.9853,1.5735,0.2991,0.4706,0.9577,0.3676,0.25,0.1589,1.9412,1.2336
ELA0709_9.txt,9,17.6066,17.9,10.0374,1.7541,2.2333,1.7833,0.3645,0.65,0.9836,0.5,0.2833,0.1589,2.5333,1.4206
ELA0710_12.txt,12,22.2766,21.8125,11.3804,1.9574,2.7083,1.9167,0.3696,0.7083,1.0213,0.5,0.5,0.2609,3.0417,1.587
ELA0711_3.txt,3,8.4545,8.2667,6.6429,1.2727,1.6,1.2444,0.25,0.3111,1.0227,0.2222,0.0444,0.0357,0.8222,0.6607
ELA0712_5.txt,5,11.1964,11.6111,8.831,1.2679,1.5741,1.3148,0.2394,0.3148,0.9643,0.2593,0.1296,0.0986,1.4444,1.0986
ELA0713_7.txt,7,13.2381,13.4516,9.4773,1.3968,1.7419,1.4194,0.2614,0.371,0.9841,0.3387,0.2258,0.1591,1.6935,1.1932
ELA0714_9.txt,9,17.1552,15.5469,9.7549,1.7586,1.9219,1.5938,0.3235,0.5156,1.1034,0.5,0.2812,0.1765,2.0156,1.2647
